"STATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00013988","2018-10-01","0.00",,"81","65"
"USW00013988","2018-10-02","0.00",,"89","61"
"USW00013988","2018-10-03","0.00",,"91","69"
"USW00013988","2018-10-04","0.00",,"69","52"
"USW00013988","2018-10-05","0.07",,"84","56"
"USW00013988","2018-10-06","0.95",,"77","54"
"USW00013988","2018-10-07","2.48",,"68","54"
"USW00013988","2018-10-08","2.64",,"84","66"
"USW00013988","2018-10-09","1.67",,"76","65"
"USW00013988","2018-10-10","0.01",,"67","47"
"USW00013988","2018-10-11","0.00",,"55","41"
"USW00013988","2018-10-12",,,"49","45"
"USW00013988","2018-10-13","0.00",,"58","44"
"USW00013988","2018-10-14","0.41",,"53","35"
"USW00013988","2018-10-15","0.00",,"47","33"
"USW00013988","2018-10-16","0.00",,"63","32"
"USW00013988","2018-10-17","0.00",,"68","40"
"USW00013988","2018-10-18","0.00",,"67","43"
"USW00013988","2018-10-19","0.00",,"64","52"
"USW00013988","2018-10-20","0.00",,"65","43"
"USW00013988","2018-10-21","0.00",,"65","35"
"USW00013988","2018-10-22","0.00",,"72","47"
"USW00013988","2018-10-23","0.00",,"67","45"
"USW00013988","2018-10-24","0.00",,"64","43"
"USW00013988","2018-10-25","0.16",,"53","48"
"USW00013988","2018-10-26","0.00",,"59","45"
"USW00013988","2018-10-27","0.00",,"72","42"
"USW00013988","2018-10-28","0.00",,"67","45"
"USW00013988","2018-10-29","0.00",,"73","43"
"USW00013988","2018-10-30","0.00",,"70","54"
"USW00013988","2018-10-31","0.00",,"60","48"
"USW00013988","2018-11-01","0.00",,"60","43"
"USW00013988","2018-11-02","0.00",,"54","44"
"USW00013988","2018-11-03","0.06",,"61","45"
"USW00013988","2018-11-04","0.00",,"53","39"
"USW00013988","2018-11-05","0.15",,"53","41"
"USW00013988","2018-11-06","0.01",,"51","36"
"USW00013988","2018-11-07","0.00",,"47","35"
"USW00013988","2018-11-08",,,"38","30"
"USW00013988","2018-11-09","0.00",,"38","18"
"USW00013988","2018-11-10","0.00",,"39","14"
"USW00013988","2018-11-11","0.00",,"50","29"
"USW00013988","2018-11-12","0.00",,"35","21"
"USW00013988","2018-11-13","0.00",,"33","16"
"USW00013988","2018-11-14","0.00",,"41","20"
"USW00013988","2018-11-15","0.00",,"51","23"
"USW00013988","2018-11-16","0.00",,"58","30"
"USW00013988","2018-11-17","0.00",,"46","30"
"USW00013988","2018-11-18","0.00",,"35","26"
"USW00013988","2018-11-19","0.00",,"44","24"
"USW00013988","2018-11-20","0.00",,"46","23"
"USW00013988","2018-11-21","0.00",,"63","35"
"USW00013988","2018-11-22","0.00",,"64","40"
"USW00013988","2018-11-23","0.00",,"53","42"
"USW00013988","2018-11-24","0.00",,"64","33"
"USW00013988","2018-11-25","0.21",,"52","24"
"USW00013988","2018-11-26","0.00",,"29","19"
"USW00013988","2018-11-27","0.00",,"28","18"
"USW00013988","2018-11-28","0.00",,"40","22"
"USW00013988","2018-11-29","0.00",,"49","28"
"USW00013988","2018-11-30","0.20",,"41","30"
"USW00013988","2018-12-01","0.77",,"55","37"
"USW00013988","2018-12-02","0.00",,"39","33"
"USW00013988","2018-12-03","0.00",,"33","29"
"USW00013988","2018-12-04","0.00",,"32","27"
"USW00013988","2018-12-05","0.00",,"49","25"
"USW00013988","2018-12-06","0.00",,"42","23"
"USW00013988","2018-12-07","0.00",,"33","20"
"USW00013988","2018-12-08","0.00",,"35","22"
"USW00013988","2018-12-09","0.00",,"38","17"
"USW00013988","2018-12-10","0.00",,"46","20"
"USW00013988","2018-12-11","0.00",,"58","27"
"USW00013988","2018-12-12","0.00",,"55","30"
"USW00013988","2018-12-13","0.00",,"49","37"
"USW00013988","2018-12-14","0.00",,"48","30"
"USW00013988","2018-12-15","0.00",,"56","24"
"USW00013988","2018-12-16","0.00",,"56","26"
"USW00013988","2018-12-17","0.00",,"57","26"
"USW00013988","2018-12-18","0.00",,"60","30"
"USW00013988","2018-12-19","0.00",,"51","44"
"USW00013988","2018-12-20","0.00",,"45","33"
"USW00013988","2018-12-21","0.00",,"46","28"
"USW00013988","2018-12-22","0.00",,"48","33"
"USW00013988","2018-12-23","0.00",,"49","29"
"USW00013988","2018-12-24","0.00",,"49","28"
"USW00013988","2018-12-25","0.00",,"52","38"
"USW00013988","2018-12-26","0.50",,"52","39"
"USW00013988","2018-12-27","0.13",,"60","28"
"USW00013988","2018-12-28","0.00",,"28","19"
"USW00013988","2018-12-29","0.00",,"29","19"
"USW00013988","2018-12-30","0.00",,"45","20"
"USW00013988","2018-12-31","0.46",,"42","26"
"USW00013988","2019-01-01","0.00",,"26","20"
"USW00013988","2019-01-02","0.00",,"36","21"
"USW00013988","2019-01-03","0.00",,"49","22"
"USW00013988","2019-01-04","0.00",,"56","25"
"USW00013988","2019-01-05","0.00",,"63","28"
"USW00013988","2019-01-06","0.00",,"62","35"
"USW00013988","2019-01-07","0.01",,"63","42"
"USW00013988","2019-01-08","0.00",,"53","36"
"USW00013988","2019-01-09","0.00",,"39","27"
"USW00013988","2019-01-10","0.00",,"43","24"
"USW00013988","2019-01-11","0.25",,"42","33"
"USW00013988","2019-01-12","0.11",,"34","31"
"USW00013988","2019-01-13","0.00",,"32","30"
"USW00013988","2019-01-14","0.00",,"32","27"
"USW00013988","2019-01-15","0.00",,"36","32"
"USW00013988","2019-01-16","0.00",,"35","33"
"USW00013988","2019-01-17","0.00",,"36","34"
"USW00013988","2019-01-18","0.17",,"39","28"
"USW00013988","2019-01-19","0.00",,"28","12"
"USW00013988","2019-01-20","0.00",,"24","11"
"USW00013988","2019-01-21","0.00",,"36","18"
"USW00013988","2019-01-22","0.20",,"43","24"
"USW00013988","2019-01-23","0.00",,"28","17"
"USW00013988","2019-01-24","0.00",,"31","12"
"USW00013988","2019-01-25","0.00",,"36","7"
"USW00013988","2019-01-26","0.00",,"44","25"
"USW00013988","2019-01-27","0.00",,"47","28"
"USW00013988","2019-01-28","0.00",,"48","18"
"USW00013988","2019-01-29","0.00",,"30","9"
"USW00013988","2019-01-30","0.00",,"9","-4"
"USW00013988","2019-01-31","0.00",,"35","4"
"USW00013988","2019-02-01","0.00",,"54","22"
"USW00013988","2019-02-02","0.00",,"58","37"
"USW00013988","2019-02-03","0.00",,"67","54"
"USW00013988","2019-02-04","0.00",,"62","24"
"USW00013988","2019-02-05","0.00",,"27","22"
"USW00013988","2019-02-06","0.00",,"28","24"
"USW00013988","2019-02-07","0.15",,"27","12"
"USW00013988","2019-02-08","0.00",,"23","8"
"USW00013988","2019-02-09","0.00",,"32","15"
"USW00013988","2019-02-10","0.00",,"38","31"
"USW00013988","2019-02-11","0.23",,"35","34"
"USW00013988","2019-02-12","0.00",,"38","26"
"USW00013988","2019-02-13","0.00",,"57","24"
"USW00013988","2019-02-14","0.00",,"57","20"
"USW00013988","2019-02-15","0.12",,"20","15"
"USW00013988","2019-02-16","0.02",,"27","18"
"USW00013988","2019-02-17","0.00",,"29","21"
"USW00013988","2019-02-18","0.00",,"28","14"
"USW00013988","2019-02-19","0.26",,"31","22"
"USW00013988","2019-02-20","0.01",,"38","29"
"USW00013988","2019-02-21","0.00",,"41","21"
"USW00013988","2019-02-22","0.17",,"40","30"
"USW00013988","2019-02-23","0.40",,"47","32"
"USW00013988","2019-02-24","0.00",,"32","19"
"USW00013988","2019-02-25","0.00",,"38","17"
"USW00013988","2019-02-26","0.00",,"36","23"
"USW00013988","2019-02-27","0.00",,"32","16"
"USW00013988","2019-02-28","0.00",,"32","16"
"USW00013988","2019-03-01","0.00",,"39","25"
"USW00013988","2019-03-02","0.00",,"32","23"
"USW00013988","2019-03-03",,,"23","5"
"USW00013988","2019-03-04","0.00",,"19","2"
"USW00013988","2019-03-05","0.00",,"26","12"
"USW00013988","2019-03-06","0.00",,"39","12"
"USW00013988","2019-03-07","0.00",,"40","32"
"USW00013988","2019-03-08","0.00",,"46","34"
"USW00013988","2019-03-09","0.27",,"63","34"
"USW00013988","2019-03-10","0.00",,"48","31"
"USW00013988","2019-03-11","0.00",,"55","27"
"USW00013988","2019-03-12",,,"55","43"
"USW00013988","2019-03-13","0.12",,"65","53"
"USW00013988","2019-03-14","0.00",,"62","38"
"USW00013988","2019-03-15","0.00",,"51","33"
"USW00013988","2019-03-16","0.00",,"62","28"
"USW00013988","2019-03-17","0.00",,"54","29"
"USW00013988","2019-03-18","0.00",,"55","37"
"USW00013988","2019-03-19","0.03",,"64","42"
"USW00013988","2019-03-20","0.00",,"60","44"
"USW00013988","2019-03-21","0.00",,"58","37"
"USW00013988","2019-03-22","0.00",,"69","34"
"USW00013988","2019-03-23","0.00",,"61","48"
"USW00013988","2019-03-24","0.00",,"58","50"
"USW00013988","2019-03-25","0.00",,"56","43"
"USW00013988","2019-03-26","0.00",,"64","39"
"USW00013988","2019-03-27","0.00",,"74","49"
"USW00013988","2019-03-28","0.44",,"64","53"
"USW00013988","2019-03-29","0.60",,"53","44"
"USW00013988","2019-03-30","0.08",,"44","33"
"USW00013988","2019-03-31","0.00",,"47","28"
"USW00013988","2019-04-01","0.00",,"59","33"
"USW00013988","2019-04-02","0.00",,"58","41"
"USW00013988","2019-04-03","0.00",,"68","51"
"USW00013988","2019-04-04","0.02",,"58","50"
"USW00013988","2019-04-05","0.00",,"66","42"
"USW00013988","2019-04-06","0.31",,"78","50"
"USW00013988","2019-04-07","0.00",,"74","57"
"USW00013988","2019-04-08","0.00",,"80","49"
"USW00013988","2019-04-09","0.00",,"79","56"
"USW00013988","2019-04-10","0.00",,"87","58"
"USW00013988","2019-04-11","0.00",,"76","39"
"USW00013988","2019-04-12","0.00",,"57","34"
"USW00013988","2019-04-13","0.00",,"57","34"
"USW00013988","2019-04-14","0.00",,"58","40"
"USW00013988","2019-04-15","0.00",,"80","47"
"USW00013988","2019-04-16","0.00",,"84","63"
"USW00013988","2019-04-17","0.57",,"79","54"
"USW00013988","2019-04-18","0.02",,"62","49"
"USW00013988","2019-04-19","0.00",,"64","44"
"USW00013988","2019-04-20","0.00",,"76","42"
"USW00013988","2019-04-21","0.00",,"86","60"
"USW00013988","2019-04-22","0.00",,"77","55"
"USW00013988","2019-04-23","0.00",,"57","53"
"USW00013988","2019-04-24","0.00",,"67","54"
"USW00013988","2019-04-25","0.00",,"75","48"
"USW00013988","2019-04-26","0.00",,"72","46"
"USW00013988","2019-04-27","0.01",,"77","44"
"USW00013988","2019-04-28","0.04",,"57","41"
"USW00013988","2019-04-29","0.54",,"65","54"
"USW00013988","2019-04-30","1.18",,"61","54"
"USW00013988","2019-05-01","0.91",,"64","56"
"USW00013988","2019-05-02","0.54",,"63","51"
"USW00013988","2019-05-03","0.04",,"64","49"
"USW00013988","2019-05-04","0.00",,"72","44"
"USW00013988","2019-05-05","0.00",,"78","52"
"USW00013988","2019-05-06","0.39",,"81","56"
"USW00013988","2019-05-07","0.64",,"69","60"
"USW00013988","2019-05-08","0.82",,"75","55"
"USW00013988","2019-05-09","0.00",,"54","44"
"USW00013988","2019-05-10","0.00",,"64","41"
"USW00013988","2019-05-11","0.07",,"59","51"
"USW00013988","2019-05-12","0.38",,"63","49"
"USW00013988","2019-05-13","0.00",,"72","45"
"USW00013988","2019-05-14","0.00",,"84","56"
"USW00013988","2019-05-15","0.00",,"85","62"
"USW00013988","2019-05-16","0.00",,"91","69"
"USW00013988","2019-05-17","0.00",,"87","70"
"USW00013988","2019-05-18","1.34",,"74","63"
"USW00013988","2019-05-19","0.00",,"68","55"
"USW00013988","2019-05-20","1.62",,"60","49"
"USW00013988","2019-05-21","1.01",,"70","51"
"USW00013988","2019-05-22","0.09",,"77","56"
"USW00013988","2019-05-23","0.00",,"80","52"
"USW00013988","2019-05-24","2.53",,"85","66"
"USW00013988","2019-05-25","0.21",,"83","65"
"USW00013988","2019-05-26","0.01",,"83","66"
"USW00013988","2019-05-27","0.07",,"85","67"
"USW00013988","2019-05-28","0.38",,"79","71"
"USW00013988","2019-05-29","0.00",,"73","61"
"USW00013988","2019-05-30","0.00",,"79","57"
"USW00013988","2019-05-31","0.00",,"82","59"
"USW00013988","2019-06-01","0.00",,"89","62"
"USW00013988","2019-06-02","0.00",,"81","64"
"USW00013988","2019-06-03","0.00",,"85","66"
"USW00013988","2019-06-04","0.00",,"87","71"
"USW00013988","2019-06-05","0.00",,"91","73"
"USW00013988","2019-06-06","0.04",,"85","68"
"USW00013988","2019-06-07","0.00",,"90","69"
"USW00013988","2019-06-08","0.00",,"88","69"
"USW00013988","2019-06-09","0.00",,"81","65"
"USW00013988","2019-06-10","0.00",,"80","60"
"USW00013988","2019-06-11","0.06",,"81","57"
"USW00013988","2019-06-12","0.13",,"77","60"
"USW00013988","2019-06-13","0.00",,"80","51"
"USW00013988","2019-06-14","0.06",,"84","64"
"USW00013988","2019-06-15","0.82",,"88","72"
"USW00013988","2019-06-16","0.00",,"88","70"
"USW00013988","2019-06-17","0.00",,"86","71"
"USW00013988","2019-06-18","0.23",,"83","67"
"USW00013988","2019-06-19","0.02",,"79","68"
"USW00013988","2019-06-20","0.00",,"90","64"
"USW00013988","2019-06-21","2.09",,"83","68"
"USW00013988","2019-06-22","1.84",,"91","68"
"USW00013988","2019-06-23","1.19",,"75","66"
"USW00013988","2019-06-24","0.00",,"81","64"
"USW00013988","2019-06-25","0.00",,"90","68"
"USW00013988","2019-06-26","0.00",,"88","71"
"USW00013988","2019-06-27","0.00",,"93","75"
"USW00013988","2019-06-28","0.00",,"96","78"
"USW00013988","2019-06-29","0.00",,"96","79"
"USW00013988","2019-06-30","0.00",,"94","77"
"USW00013988","2019-07-01","0.00",,"94","75"
"USW00013988","2019-07-02","0.00",,"93","75"
"USW00013988","2019-07-03","0.00",,"92","75"
"USW00013988","2019-07-04","0.66",,"81","74"
"USW00013988","2019-07-05","0.23",,"84","73"
"USW00013988","2019-07-06","0.00",,"89","72"
"USW00013988","2019-07-07","0.00",,"90","76"
"USW00013988","2019-07-08","0.00",,"92","76"
"USW00013988","2019-07-09","0.00",,"95","77"
"USW00013988","2019-07-10","1.05",,"87","71"
"USW00013988","2019-07-11","0.00",,"86","69"
"USW00013988","2019-07-12","0.00",,"90","69"
"USW00013988","2019-07-13","0.00",,"93","71"
"USW00013988","2019-07-14","0.00",,"93","73"
"USW00013988","2019-07-15","0.00",,"86","73"
"USW00013988","2019-07-16","0.00",,"92","71"
"USW00013988","2019-07-17","0.02",,"96","79"
"USW00013988","2019-07-18","0.00",,"97","81"
"USW00013988","2019-07-19","0.00",,"98","81"
"USW00013988","2019-07-20","0.00",,"98","78"
"USW00013988","2019-07-21","1.94",,"85","71"
"USW00013988","2019-07-22","0.00",,"83","68"
"USW00013988","2019-07-23","0.00",,"82","62"
"USW00013988","2019-07-24","0.00",,"85","64"
"USW00013988","2019-07-25","0.00",,"85","67"
"USW00013988","2019-07-26","0.00",,"88","68"
"USW00013988","2019-07-27","0.00",,"90","70"
"USW00013988","2019-07-28","0.03",,"92","73"
"USW00013988","2019-07-29","0.00",,"88","72"
"USW00013988","2019-07-30","0.00",,"88","67"
"USW00013988","2019-07-31","0.16",,"84","70"
"USW00013988","2019-08-01","0.03",,"87","71"
"USW00013988","2019-08-02","0.00",,"82","72"
"USW00013988","2019-08-03","0.00",,"88","73"
"USW00013988","2019-08-04","0.00",,"90","70"
"USW00013988","2019-08-05","0.00",,"91","75"
"USW00013988","2019-08-06","0.00",,"91","75"
"USW00013988","2019-08-07","0.85",,"85","70"
"USW00013988","2019-08-08","0.00",,"86","71"
"USW00013988","2019-08-09","0.00",,"90","71"
"USW00013988","2019-08-10","0.00",,"92","76"
"USW00013988","2019-08-11","0.16",,"88","76"
"USW00013988","2019-08-12","0.00",,"95","74"
"USW00013988","2019-08-13","0.00",,"91","74"
"USW00013988","2019-08-14","0.00",,"86","70"
"USW00013988","2019-08-15","0.03",,"86","65"
"USW00013988","2019-08-16","0.72",,"84","68"
"USW00013988","2019-08-17","1.17",,"91","69"
"USW00013988","2019-08-18","0.09",,"90","74"
"USW00013988","2019-08-19","0.00",,"96","74"
"USW00013988","2019-08-20","0.00",,"95","81"
"USW00013988","2019-08-21","0.14",,"84","74"
"USW00013988","2019-08-22","0.00",,"84","73"
"USW00013988","2019-08-23","0.00",,"85","71"
"USW00013988","2019-08-24","0.00",,"79","68"
"USW00013988","2019-08-25","1.33",,"73","68"
"USW00013988","2019-08-26","1.42",,"78","68"
"USW00013988","2019-08-27","0.00",,"82","65"
"USW00013988","2019-08-28","0.00",,"84","62"
"USW00013988","2019-08-29","0.84",,"91","67"
"USW00013988","2019-08-30","0.62",,"80","66"
"USW00013988","2019-08-31","0.00",,"78","61"
"USW00013988","2019-09-01","0.00",,"81","67"
"USW00013988","2019-09-02","0.00",,"89","67"
"USW00013988","2019-09-03","0.00",,"93","76"
"USW00013988","2019-09-04","0.00",,"83","70"
"USW00013988","2019-09-05","0.00",,"93","69"
"USW00013988","2019-09-06","0.00",,"87","71"
"USW00013988","2019-09-07","0.00",,"86","66"
"USW00013988","2019-09-08","0.56",,"85","69"
"USW00013988","2019-09-09","0.00",,"95","73"
"USW00013988","2019-09-10","0.00",,"90","77"
"USW00013988","2019-09-11","0.00",,"93","76"
"USW00013988","2019-09-12","0.29",,"85","73"
"USW00013988","2019-09-13","0.00",,"80","62"
"USW00013988","2019-09-14","0.00",,"89","65"
"USW00013988","2019-09-15","0.00",,"93","76"
"USW00013988","2019-09-16","0.00",,"93","74"
"USW00013988","2019-09-17","0.00",,"94","76"
"USW00013988","2019-09-18","0.00",,"93","74"
"USW00013988","2019-09-19","0.00",,"94","74"
"USW00013988","2019-09-20","0.02",,"88","73"
"USW00013988","2019-09-21","0.64",,"80","73"
"USW00013988","2019-09-22","2.50",,"82","63"
"USW00013988","2019-09-23","0.00",,"82","60"
"USW00013988","2019-09-24","0.00",,"84","64"
"USW00013988","2019-09-25","0.00",,"85","69"
"USW00013988","2019-09-26","0.00",,"79","60"
"USW00013988","2019-09-27","0.36",,"93","70"
"USW00013988","2019-09-28","0.51",,"72","63"
"USW00013988","2019-09-29","0.28",,"88","69"
"USW00013988","2019-09-30","0.00",,"90","76"
"USW00013988","2019-10-01","0.00",,"91","76"
"USW00013988","2019-10-02","0.65",,"88","59"
"USW00013988","2019-10-03","0.00",,"60","53"
"USW00013988","2019-10-04","0.08",,"61","53"
"USW00013988","2019-10-05","0.19",,"73","52"
"USW00013988","2019-10-06","0.00",,"64","47"
"USW00013988","2019-10-07","0.00",,"72","43"
"USW00013988","2019-10-08","0.00",,"73","47"
"USW00013988","2019-10-09","0.12",,"65","56"
"USW00013988","2019-10-10","0.11",,"73","42"
"USW00013988","2019-10-11","0.00",,"49","34"
"USW00013988","2019-10-12","0.00",,"68","33"
"USW00013988","2019-10-13","0.00",,"64","38"
"USW00013988","2019-10-14","0.00",,"74","41"
"USW00013988","2019-10-15","0.00",,"66","45"
